Price ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Interval,Interval Count,Usage Type,Tax Behavior
price_1P09aTLJkZ8mI1nvRShg7WcV,"Etiquette, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09aSLJkZ8mI1nvmUnGuTAX,"Etiquette, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09aSLJkZ8mI1nvSPVakX3U,"Etiquette, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09aRLJkZ8mI1nvB4EvDNdv,"Etiquette, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09aQLJkZ8mI1nvUKWM8nXg,"Etiquette, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09aQLJkZ8mI1nvb4226odD,"Etiquette, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09aPLJkZ8mI1nvvhVmjmq6,"Etiquette, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09aOLJkZ8mI1nvgjlCqNw0,"Etiquette, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09aOLJkZ8mI1nvwccrGPxn,"Etiquette, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09aNLJkZ8mI1nv1ojYODk1,"Etiquette, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09aMLJkZ8mI1nvBPEg5NQS,"Etiquette, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09aLLJkZ8mI1nvMircQRNw,"Etiquette, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09aLLJkZ8mI1nvsmEz8Tvq,"Etiquette, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09aKLJkZ8mI1nvtCtDumfM,"Etiquette, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09aJLJkZ8mI1nv5TqiwiZB,"Etiquette, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09aJLJkZ8mI1nvu6JklyeO,"Aqua Mice, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09aILJkZ8mI1nv9Shb3MvO,"Aqua Mice, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09aHLJkZ8mI1nvORtwUBWV,"Aqua Mice, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09aGLJkZ8mI1nvUV7zpHPP,"Aqua Mice, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09aGLJkZ8mI1nvkrz2FB2g,"Aqua Mice, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09aFLJkZ8mI1nvEnIv0puX,"Aqua Mice, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09aELJkZ8mI1nvjJsBZwGk,"Aqua Mice, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09aDLJkZ8mI1nviOK4NrEi,"Aqua Mice, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09aDLJkZ8mI1nvPQlt8grP,"Aqua Mice, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09aCLJkZ8mI1nvFf9F8NyH,"Aqua Mice, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09aBLJkZ8mI1nvcwwXshcY,"Aqua Mice, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09aBLJkZ8mI1nvVVM7so08,"Aqua Mice, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09aALJkZ8mI1nvEJnb0d5U,"Aqua Mice, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09a9LJkZ8mI1nvZ8H59O2Z,"Aqua Mice, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09a8LJkZ8mI1nvSbmB9KO7,"Aqua Mice, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09a8LJkZ8mI1nvjtFsmZrX,"Forager, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09a7LJkZ8mI1nvk4b6oXfn,"Forager, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09a6LJkZ8mI1nvPCjFfu7I,"Forager, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09a6LJkZ8mI1nvVSYCMxRZ,"Forager, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09a5LJkZ8mI1nvr6dVpiMO,"Forager, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09a4LJkZ8mI1nvH2umY6d0,"Forager, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09a4LJkZ8mI1nvXV6VnzOt,"Forager, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09a3LJkZ8mI1nvCXZUrRXb,"Forager, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09a2LJkZ8mI1nv0Q0AV7PB,"Forager, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09a1LJkZ8mI1nv9wqbXUxn,"Forager, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09a1LJkZ8mI1nvFLWrPP6y,"Forager, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09a0LJkZ8mI1nvhholWNFD,"Forager, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZzLJkZ8mI1nvESwGYWqJ,"Forager, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZzLJkZ8mI1nvxNxbVks9,"Forager, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZyLJkZ8mI1nvB4ydLiIn,"Forager, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09ZxLJkZ8mI1nvutc93hLq,"Monster Patrol, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09ZwLJkZ8mI1nvBGrLGG0k,"Monster Patrol, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09ZwLJkZ8mI1nve8fH8BW8,"Monster Patrol, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZvLJkZ8mI1nvW2KqUNA6,"Monster Patrol, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZuLJkZ8mI1nvDrwOqkzi,"Monster Patrol, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZtLJkZ8mI1nvhpEPOrLK,"Monster Patrol, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZtLJkZ8mI1nvpHScazvI,"Monster Patrol, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZsLJkZ8mI1nvCxexaon2,"Monster Patrol, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09ZrLJkZ8mI1nv43QmQOKD,"Monster Patrol, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09ZrLJkZ8mI1nvMo0zkfq4,"Monster Patrol, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09ZqLJkZ8mI1nv9D0aqqcz,"Monster Patrol, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZpLJkZ8mI1nvMc1TfOnB,"Monster Patrol, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZoLJkZ8mI1nvqFxwP0UK,"Monster Patrol, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZoLJkZ8mI1nvrtlnfySt,"Monster Patrol, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZnLJkZ8mI1nvWY9s6ovs,"Monster Patrol, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09ZmLJkZ8mI1nvX9uXrNBT,"Mouse Patrol, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09ZmLJkZ8mI1nvJjJE93K7,"Mouse Patrol, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09ZlLJkZ8mI1nv3lceQD5Q,"Mouse Patrol, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZkLJkZ8mI1nvjtzfwCDe,"Mouse Patrol, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZjLJkZ8mI1nvmLULdXJZ,"Mouse Patrol, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZjLJkZ8mI1nvf9T2yXuH,"Mouse Patrol, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZiLJkZ8mI1nv0pxU9VDD,"Mouse Patrol, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
